,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_batch_size,param_hidden_layer_sizes,param_learning_rate,param_learning_rate_init,param_max_iter,param_solver,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_mse,split1_test_mse,split2_test_mse,split3_test_mse,split4_test_mse,mean_test_mse,std_test_mse,rank_test_mse,split0_train_mse,split1_train_mse,split2_train_mse,split3_train_mse,split4_train_mse,mean_train_mse,std_train_mse,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_train_precision,split1_train_precision,split2_train_precision,split3_train_precision,split4_train_precision,mean_train_precision,std_train_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,split3_train_recall,split4_train_recall,mean_train_recall,std_train_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,split4_train_f1,mean_train_f1,std_train_f1,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_train_roc_auc,split1_train_roc_auc,split2_train_roc_auc,split3_train_roc_auc,split4_train_roc_auc,mean_train_roc_auc,std_train_roc_auc
0,29.713930892944337,6.376185060649844,0.026424169540405273,0.0026303317063528786,tanh,1e-05,8,[64],constant,0.01,500,adam,"{'activation': 'tanh', 'alpha': 1e-05, 'batch_size': 8, 'hidden_layer_sizes': [64], 'learning_rate': 'constant', 'learning_rate_init': 0.01, 'max_iter': 500, 'solver': 'adam'}",0.7157517510995276,0.7038605636097084,0.6916435901612641,0.7093174784166802,0.707607102133898,0.7056360970842157,0.007983816815112081,51,0.7268284736927838,0.7199258836944128,0.7000936634631048,0.7292311451376445,0.7197426290926862,0.7191643590161264,0.010243872134954328,-0.2842482489004724,-0.29613943639029155,-0.30835640983873597,-0.29068252158331975,-0.29239289786610195,-0.2943639029157843,0.0079838168151121,51,-0.27317152630721614,-0.2800741163055872,-0.29990633653689525,-0.2707688548623554,-0.2802573709073139,-0.2808356409838736,0.010243872134954347,0.6781439139206455,0.7020177562550444,0.7038641483278462,0.6953481301307388,0.7128068124895642,0.6984361522247677,0.011576853816261341,10,0.6871514011155164,0.7187943118745695,0.7139932929750447,0.7114099000976489,0.7208036664211473,0.7104305144967854,0.012108881813617849,0.821306401694087,0.708421567030461,0.6616712819677472,0.7450724873757941,0.6953901286854537,0.7263723733507086,0.054461961331269834,60,0.8328310799804528,0.7225118097410002,0.6676168757126568,0.7713797035347777,0.7173399576478254,0.7423358853233426,0.05591716087675235,0.7428908206866067,0.7052051240473489,0.6821158690176322,0.7193520484390973,0.7039907651715039,0.7107109254724379,0.020016824521267594,56,0.7530100519164917,0.7206482666179248,0.6900267272765537,0.7401820952678677,0.7190676409356248,0.7245869564028926,0.021407784904130145,0.7860527284494433,0.7745468562225476,0.7737962456922847,0.7847025926836243,0.7847478598969664,0.7807692565889732,0.005413993707082956,46,0.8008983694410118,0.7965176827970871,0.7865959391555055,0.8082990812082397,0.799759199851324,0.7984140544906337,0.007056331422153007
1,30.85851855278015,6.224607924837294,0.022464656829833986,0.0008572868750075313,tanh,1e-05,8,[64],constant,0.01,500,sgd,"{'activation': 'tanh', 'alpha': 1e-05, 'batch_size': 8, 'hidden_layer_sizes': [64], 'learning_rate': 'constant', 'learning_rate_init': 0.01, 'max_iter': 500, 'solver': 'sgd'}",0.7024759732855514,0.7107835152304935,0.7221045772927187,0.6961231470923603,0.7155074116305588,0.7093989249063366,0.009217785403220458,46,0.7110889395667047,0.7173195960254113,0.7196815442254438,0.7030664603355595,0.7167901938426454,0.713589346799153,0.005970899872221905,-0.2975240267144486,-0.28921648476950645,-0.2778954227072813,-0.30387685290763966,-0.2844925883694413,-0.2906010750936635,0.00921778540322046,46,-0.28891106043329534,-0.2826804039745887,-0.2803184557745561,-0.29693353966444047,-0.28320980615735464,-0.28641065320084713,0.005970899872221915,0.7115384615384616,0.7042942848121251,0.7010172490048651,0.7024209818426361,0.6933645133002047,0.7025270980996584,0.005840744559714124,1,0.7211107793371155,0.7098918387413963,0.7026407723226025,0.7080221934837929,0.6927896280737333,0.7068910423917282,0.009267144994544224,0.6810555465059456,0.7266655807134712,0.7745561166313731,0.6805668675680078,0.7727642938589346,0.7271216810555464,0.0415281139004428,59,0.6884264538198404,0.7350138459032416,0.7617282945105066,0.6911549112233263,0.7790356735624695,0.7310718358038768,0.036518151949739,0.6959633791094465,0.715305058927283,0.735954186658412,0.6913212542400925,0.7309144133733919,0.7138916584617252,0.017940866107016954,51,0.7043896747848915,0.7222344490906545,0.7309924380092621,0.6994868835905784,0.7333857271559738,0.7180978345262721,0.01379407973241486,0.7836203719548015,0.7813037971046018,0.7870249387055132,0.7739537522446873,0.7901670829826296,0.7832139885984467,0.005521500131972686,40,0.7900836762846581,0.7902228121030412,0.79318355253349,0.7827754757362563,0.7881811631025724,0.7888893359520036,0.003450382559852577
2,30.298785066604616,12.881090634761687,0.020630741119384767,0.0003540295969750188,tanh,1e-05,8,[64],constant,0.005,500,adam,"{'activation': 'tanh', 'alpha': 1e-05, 'batch_size': 8, 'hidden_layer_sizes': [64], 'learning_rate': 'constant', 'learning_rate_init': 0.005, 'max_iter': 500, 'solver': 'adam'}",0.7124124450236194,0.7209643264375305,0.7186838247271543,0.707607102133898,0.7203127545202802,0.7159960905684966,0.0051722048021660095,14,0.7167494705978172,0.7256271379703535,0.7178489982081773,0.7193353966444046,0.7244258022479231,0.7207973611337352,0.003569535855270431,-0.2875875549763805,-0.27903567356246944,-0.28131617527284575,-0.29239289786610195,-0.27968724547971985,-0.2840039094315035,0.00517220480216598,14,-0.28325052940218276,-0.2743728620296465,-0.2821510017918228,-0.2806646033555954,-0.27557419775207687,-0.2792026388662649,0.003569535855270451,0.6860730593607306,0.6899593894412547,0.6697004171406902,0.6630420877574517,0.7013547714753611,0.6820259450350976,0.013894082777081785,57,0.6899197145405888,0.6943421375705917,0.669175547895386,0.6718899597880896,0.7025656105270897,0.6855785940643491,0.012966436534767544,0.7831894445349405,0.802573709073139,0.8630070043981104,0.8442743117771624,0.7673888255416191,0.8120866590649942,0.03620046436936905,1,0.7873839387522398,0.8061166313731878,0.8617038605636097,0.8573464733669979,0.7783841016452191,0.8181870011402508,0.03494559945445114,0.731421617098958,0.7420180722891565,0.7541637010676157,0.7427629693321868,0.7328873677660237,0.7406507455107881,0.008177748897114366,3,0.7354367547212872,0.746066145293508,0.7533332146608043,0.7533726963678655,0.7385340597349408,0.7453485741556811,0.007393750075576981,0.7811787019830887,0.7889173921383269,0.792965530768292,0.7873200246841637,0.7933773934209863,0.7887518085989715,0.0044402895484103935,15,0.7882430307264345,0.7986264258144006,0.798078540956785,0.7986765628684511,0.796826681777142,0.7960902484286426,0.003979841329341881
3,37.316344165802,5.84408846920201,0.022362947463989258,0.0014726259236928032,tanh,1e-05,8,[64],constant,0.005,500,sgd,"{'activation': 'tanh', 'alpha': 1e-05, 'batch_size': 8, 'hidden_layer_sizes': [64], 'learning_rate': 'constant', 'learning_rate_init': 0.005, 'max_iter': 500, 'solver': 'sgd'}",0.7224303632513439,0.7210457729271869,0.7178693598305913,0.7153445186512462,0.7208828799478743,0.7195145789216484,0.0025618255036060334,3,0.7296791008307542,0.728518488353152,0.7257085844600097,0.7271949828962372,0.7270728131617528,0.7276347939403812,0.0013549646186938225,-0.27756963674865615,-0.27895422707281314,-0.2821306401694087,-0.28465548134875385,-0.27911712005212574,-0.28048542107835156,0.002561825503606021,3,-0.2703208991692458,-0.27148151164684803,-0.2742914155399902,-0.2728050171037628,-0.2729271868382473,-0.2723652060596188,0.001354964618693821,0.6920804613869742,0.6813201496525922,0.6884599126391433,0.6770219603642207,0.6943250214961307,0.6866415011078122,0.006523461357299134,49,0.6992088160497315,0.6893921495831786,0.6968427034130057,0.6852995881493291,0.6973805309734513,0.6936247576337393,0.005345393056915999,0.8014334582179508,0.8305913015149047,0.7958950969213227,0.8235869034044633,0.7892164847695065,0.8081446489656295,0.016097716851745582,2,0.806157354618016,0.8318129988597491,0.79903078677309,0.8402427105391758,0.8022886463593419,0.8159064994298746,0.01679612645675566,0.7427536231884058,0.7485869485429054,0.7382895134481716,0.7431469096788419,0.7387359914614623,0.7423025972639574,0.003721152442418388,1,0.7488840130135432,0.753935591030728,0.7444463415096845,0.7549026781794235,0.7461652084990342,0.7496667664464827,0.004141595888617506,0.7901780415753086,0.7892092940222523,0.7912840899463244,0.7879018118586884,0.7953627030162213,0.7907871880837589,0.002544344845201,7,0.802046514197706,0.8041867938490508,0.8011739304513048,0.8040071006241065,0.8028622908749603,0.8028553259994258,0.0011472320994443035
4,22.5265643119812,3.6678041101791137,0.02024211883544922,0.0008915171948906209,tanh,1e-05,8,"[32, 16]",constant,0.01,500,adam,"{'activation': 'tanh', 'alpha': 1e-05, 'batch_size': 8, 'hidden_layer_sizes': [32, 16], 'learning_rate': 'constant', 'learning_rate_init': 0.01, 'max_iter': 500, 'solver': 'adam'}",0.7176250203616225,0.7074442091545854,0.7174621273823099,0.7083401205408046,0.7107020687408373,0.712314709236032,0.004400342112371325,38,0.7201702231633816,0.7159757289460824,0.7177471900961069,0.7198851604495846,0.7141431829288157,0.7175842971167943,0.0022994033196393317,-0.2823749796383776,-0.29255579084541455,-0.2825378726176902,-0.2916598794591953,-0.28929793125916275,-0.2876852907639681,0.004400342112371281,38,-0.27982977683661836,-0.2840242710539176,-0.2822528099038931,-0.2801148395504154,-0.2858568170711842,-0.2824157028832057,0.002299403319639315,0.6941296134844522,0.6648543689320389,0.6829268292682927,0.669045730901401,0.689857625128431,0.6801628335429232,0.011442365647681687,59,0.6977722500640158,0.6721412574247785,0.6850044979586187,0.6780426682494147,0.6905184594761059,0.6846958266345867,0.009020786057114845,0.7781397621762502,0.8366183417494706,0.8118586088939567,0.8245642612803388,0.7655970027691806,0.8033555953738395,0.027166407948934292,3,0.7767958950969214,0.8432969539012869,0.8062388011076722,0.8373920834012054,0.776144323179671,0.8079736113373513,0.0286403497520101,0.7337378081560557,0.7409117137911138,0.741832254223413,0.7387085005472456,0.7257566399011736,0.7361893833238004,0.005921835944082463,7,0.7351665927967163,0.7480538246184413,0.7406936286430468,0.749339504035858,0.7308319113445941,0.7408170922877313,0.007164482159481748,0.7835577779593301,0.776178306757331,0.7797267813225566,0.7807578177286734,0.7793052602491962,0.7799051888034174,0.0023811668110786544,47,0.7920500521249574,0.7840761112669696,0.7847378042936509,0.7924438831828879,0.7842340000765775,0.7875083701890088,0.0038772180656159254
5,56.12851505279541,18.483519135487345,0.020574522018432618,0.001619718437534963,tanh,1e-05,8,"[32, 16]",constant,0.01,500,sgd,"{'activation': 'tanh', 'alpha': 1e-05, 'batch_size': 8, 'hidden_layer_sizes': [32, 16], 'learning_rate': 'constant', 'learning_rate_init': 0.01, 'max_iter': 500, 'solver': 'sgd'}",0.7146115002443395,0.7065482977683661,0.7153445186512462,0.7055709398924906,0.718602378237498,0.712135526958788,0.00514896436638055,40,0.7346880599446164,0.7319596025411305,0.735970842156703,0.7363984362273986,0.7416313731878156,0.7361296628115328,0.00315702080128288,-0.28538849975566055,-0.2934517022316338,-0.28465548134875385,-0.29442906010750935,-0.28139762176250205,-0.28786447304121193,0.0051489643663805325,40,-0.2653119400553836,-0.26804039745886954,-0.26402915784329695,-0.2636015637726014,-0.2583686268121844,-0.2638703371884672,0.003157020801282879,0.6740192841104213,0.7097254383063182,0.6942403761387012,0.7006997455470738,0.7087091757387247,0.6974788039682478,0.01301777441911386,15,0.6918058976236438,0.7347317233989945,0.7149853448595703,0.7296645038771957,0.7258574093106467,0.7194089758140102,0.015251512583170458,0.8312428734321551,0.6989737742303307,0.7696693272519954,0.7177064668512787,0.74230330672748,0.751979149698648,0.04620278960683445,40,0.8464733669978823,0.726054732041049,0.7847776510832383,0.7510588043655319,0.7765515556279524,0.7769832220231309,0.04038714209151818,0.7444201312910285,0.7043085761181781,0.7300115874855156,0.7091011507202061,0.725117352215769,0.7225917595661395,0.014520203860626305,42,0.7613640525988058,0.7303674572938429,0.7482575860529227,0.7402070958420293,0.7503492238377241,0.746109083125065,0.010372475012630692,0.7804277597762918,0.7840366790730496,0.7809478816496402,0.7814402222965118,0.7891293334434676,0.7831963752477922,0.00321593320044515,41,0.8156444859134455,0.8134601181588365,0.8138365892669845,0.8165056724249516,0.8193010455691452,0.8157495822666727,0.002102227260675828
6,42.66027946472168,9.489957793668067,0.018975114822387694,0.0003333382191370191,tanh,1e-05,8,"[32, 16]",constant,0.005,500,adam,"{'activation': 'tanh', 'alpha': 1e-05, 'batch_size': 8, 'hidden_layer_sizes': [32, 16], 'learning_rate': 'constant', 'learning_rate_init': 0.005, 'max_iter': 500, 'solver': 'adam'}",0.7198240755823424,0.7067926372373351,0.7126567844925884,0.7116794266167128,0.7171363414236847,0.7136178530705328,0.0045202141377477115,26,0.7295365694738557,0.7239371233099854,0.7268284736927838,0.7340772112721942,0.731267307379052,0.7291293370255743,0.0035063163121480147,-0.2801759244176576,-0.2932073627626649,-0.28734321550741165,-0.2883205733832872,-0.28286365857631535,-0.28638214692946734,0.004520214137747714,26,-0.2704634305261443,-0.27606287669001467,-0.27317152630721614,-0.26592278872780584,-0.268732692620948,-0.2708706629744258,0.003506316312148024,0.6824388265513046,0.7180147690194058,0.7083133875857667,0.6919214296263476,0.707632398753894,0.7016641623073437,0.012741340258885358,4,0.6915548003398471,0.7368421052631579,0.7253600906295518,0.7127628072253479,0.7183726832269476,0.7169784973369704,0.015039243281376381,0.8222837595699626,0.6810555465059456,0.7230819351685942,0.7631536080794917,0.7400228050171037,0.7459195308682196,0.04667370236651104,47,0.8286773090079818,0.6966932725199544,0.7300863332790357,0.784166802410816,0.7607916598794592,0.7600830754194494,0.04517470205768952,0.7458628841607565,0.6990469821100151,0.7156214734805739,0.7257939581719597,0.723465244048093,0.7219581083942795,0.015188786360236775,44,0.7539319390155795,0.716205467409051,0.7277155382367266,0.7467618087334211,0.7389739329931568,0.736717737277587,0.013446898041734979,0.7903276940273892,0.7881839359183954,0.7878885182632112,0.7865165183802797,0.7910424436908107,0.7887918220560173,0.0016605234458255472,14,0.8071885717878434,0.809693156652074,0.8050069984080322,0.8102806735387214,0.8077628680478508,0.8079864536869044,0.0018836156487685542
7,78.30265431404113,10.750397347219295,0.021665477752685548,0.002511917673279446,tanh,1e-05,8,"[32, 16]",constant,0.005,500,sgd,"{'activation': 'tanh', 'alpha': 1e-05, 'batch_size': 8, 'hidden_layer_sizes': [32, 16], 'learning_rate': 'constant', 'learning_rate_init': 0.005, 'max_iter': 500, 'solver': 'sgd'}",0.7153445186512462,0.7071998696856165,0.7073627626649291,0.7080143345821795,0.712005212575338,0.7099853396318618,0.003203819599927274,45,0.7401856979964163,0.7426087310636912,0.7395952109464082,0.7420386056360971,0.7392897866101971,0.7407436064505621,0.0013341198535696487,-0.28465548134875385,-0.29280013031438346,-0.29263723733507085,-0.2919856654178205,-0.287994787424662,-0.2900146603681381,0.003203819599927281,45,-0.25981430200358363,-0.25739126893630887,-0.26040478905359177,-0.2579613943639029,-0.2607102133898029,-0.259256393549438,0.0013341198535696058,0.6838664812239221,0.6814033086138049,0.7084834588928922,0.6944867499238502,0.6941088739746458,0.692469774525823,0.009588287096117693,28,0.7047632273295376,0.7123961638561089,0.7428288414709645,0.7260143742632239,0.7142805047042521,0.7200566223248174,0.01326652073603926,0.8009447792800131,0.7783026551555629,0.7046750285062714,0.7427919856654178,0.7581039257208014,0.7569636748656133,0.03263718465253154,37,0.8266818700114025,0.8137318781560515,0.7329369604170061,0.7774881902589998,0.7976461964489331,0.7896970190584784,0.032800923251254596,0.7377897816790457,0.7266367576610144,0.7065741118824009,0.717827626918536,0.7246963562753036,0.7227049268832602,0.010305039311290076,40,0.7608695652173912,0.7596996483224029,0.7378497488982269,0.7508701551530882,0.7536650121205125,0.7525908259423243,0.00825211265005998,0.7863034759090463,0.7792258303528659,0.7848507857589558,0.7793356683538212,0.7845952886913878,0.7828622098132154,0.002981947661403139,43,0.8206689907064499,0.8237658536739716,0.8228619455665209,0.8210465016205317,0.818692072527522,0.8214070728189993,0.0017734996594314099
8,14.087239122390747,2.1026728877988985,0.019780731201171874,0.0017424849515520937,tanh,1e-05,8,"[16, 32]",constant,0.01,500,adam,"{'activation': 'tanh', 'alpha': 1e-05, 'batch_size': 8, 'hidden_layer_sizes': [16, 32], 'learning_rate': 'constant', 'learning_rate_init': 0.01, 'max_iter': 500, 'solver': 'adam'}",0.697426290926861,0.7057338328718032,0.6979149698647988,0.6931096269750774,0.7129825704512136,0.7014334582179509,0.007065387917020244,55,0.700724873757941,0.7182155074116305,0.7064668512787099,0.7036365857631536,0.7132472715425965,0.7084582179508063,0.00640559165898699,-0.30257370907313896,-0.29426616712819675,-0.30208503013520116,-0.3068903730249226,-0.28701742954878645,-0.2985665417820492,0.0070653879170202265,55,-0.299275126242059,-0.28178449258836946,-0.2935331487212901,-0.29636341423684637,-0.28675272845740346,-0.2915417820491937,0.00640559165898699,0.7190097578604987,0.6615916069600819,0.6945868033311979,0.6911172013541834,0.6771440184256876,0.6886898775863299,0.01911849318563138,41,0.7253978415950247,0.6732516408548611,0.7065341372005866,0.6982358771060456,0.6760700716183047,0.6958979136749646,0.019467090509098783,0.648151164684802,0.8423195960254113,0.7064668512787099,0.6983222023130803,0.814139110604333,0.7418797849812673,0.07381864117698213,53,0.6459928327089103,0.8479801270565238,0.7063039582993973,0.7172585111581691,0.81882228375957,0.7472715425965141,0.0749642976898729,0.6817441960078814,0.7410963812253671,0.7004764596624404,0.6947010209042295,0.7393491124260355,0.7114734340451909,0.024251380691650427,54,0.6833965190418749,0.750581238172479,0.7064190289996742,0.7076193728530965,0.7406302373980146,0.7177292792930279,0.024546182924149836,0.7772310348087622,0.7750061884207687,0.7747987048482433,0.7668729093267204,0.7820717078828713,0.7751961090574732,0.004916999811528135,54,0.7840637447074044,0.7888102083788339,0.7837640334994891,0.7752997984388437,0.7821001043693183,0.782807577878778,0.004367873767892562
9,40.09906392097473,3.103365706004743,0.02093534469604492,0.0008614183349046848,tanh,1e-05,8,"[16, 32]",constant,0.01,500,sgd,"{'activation': 'tanh', 'alpha': 1e-05, 'batch_size': 8, 'hidden_layer_sizes': [16, 32], 'learning_rate': 'constant', 'learning_rate_init': 0.01, 'max_iter': 500, 'solver': 'sgd'}",0.7105391757615247,0.7063039582993973,0.713389802899495,0.7097247108649617,0.719986968561655,0.7119889232774067,0.004593004345613849,41,0.7182358690340447,0.7218398762013357,0.7192539501547484,0.728253787261769,0.7273375142531356,0.7229841993810067,0.004110736739865253,-0.2894608242384753,-0.2936960417006027,-0.28661019710050495,-0.2902752891350383,-0.280013031438345,-0.2880110767225933,0.004593004345613849,41,-0.2817641309659554,-0.2781601237986643,-0.28074604984525164,-0.27174621273823096,-0.2726624857468643,-0.2770158006189933,0.004110736739865277,0.6969974089315654,0.6773064538709226,0.7070164348925411,0.6978638389426771,0.7116439429556496,0.6981656159186711,0.011803073451149549,12,0.7035784835131439,0.6925251811274077,0.7145361810647115,0.7134099908620164,0.715282866067641,0.7078665405269841,0.008763111002667745,0.7449095943964815,0.7880762339143182,0.7287831894445349,0.7396970190584786,0.7396970190584786,0.7482326111744584,0.020603637468719765,45,0.7542352174621274,0.7979719824075583,0.7302492262583483,0.7630314383450073,0.7553347450724873,0.7601645219091057,0.021867928976385537,0.7201574803149607,0.7285047432615571,0.7177348199246009,0.7181717539142812,0.7253993610223641,0.7219936316875527,0.004245214845924389,43,0.7280267295597485,0.741518608919415,0.7223072585192944,0.7373868555686738,0.7347634044407471,0.7328005714015757,0.0068379832602854665,0.783239739964536,0.7743352731280634,0.7817236332611701,0.7824643863648467,0.792953935356668,0.7829433936150568,0.005934909750024068,42,0.7961371295799986,0.7938040248005422,0.7965738389510362,0.803009455753037,0.8018168033222632,0.7982682504813754,0.003533080026052234
