,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_leaves,param_min_samples_leaf,param_random_state,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_train_precision,split1_train_precision,split2_train_precision,split3_train_precision,split4_train_precision,mean_train_precision,std_train_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,split3_train_recall,split4_train_recall,mean_train_recall,std_train_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,split4_train_f1,mean_train_f1,std_train_f1,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_train_roc_auc,split1_train_roc_auc,split2_train_roc_auc,split3_train_roc_auc,split4_train_roc_auc,mean_train_roc_auc,std_train_roc_auc
21,11.191207981109619,0.710018922843023,0.015630340576171874,0.0009226676117031783,0.05,5,1,10,"{'learning_rate': 0.05, 'max_leaves': 5, 'min_samples_leaf': 1, 'random_state': 10}",0.7298419938100668,0.7282130640169409,0.7278872780583157,0.7267470272031276,0.7346473366997882,0.7294673399576477,0.0027728193948138966,9,0.738414236846392,0.7377219416843134,0.738149535755009,0.7390250855188142,0.7365409675842971,0.7379703534777651,0.00083023501051312,0.701054431461955,0.70169881946444,0.6998571428571428,0.7005763688760807,0.7077744122313573,0.702192234978195,0.002855256103058592,11,0.7106314085267135,0.709748122597104,0.7104808522890872,0.7106103555922351,0.7077506348581852,0.7098442747726651,0.0010958342607947419,0.8014334582179508,0.7939403811695716,0.7980127056523864,0.7919856654178205,0.7993158494868872,0.7969376119889232,0.003479357432760522,18,0.8043655318455775,0.8044062550904056,0.8038768529076397,0.8064831405766412,0.8058315686593908,0.8049926698159309,0.0009907054047587553,0.7478908565782474,0.7449751623996943,0.7457188522718623,0.7434819175777965,0.750764993880049,0.7465663565415299,0.0025356175521077814,8,0.7545987660216615,0.7541183881497318,0.7542988154375239,0.755517405817835,0.7536132533561839,0.7544293257565873,0.0006312396572701186,0.8057814589686543,0.8020345091655627,0.8044059831156478,0.7984121901368366,0.8085219562303194,0.8038312195234042,0.0034272684615255255,3,0.8156056789297919,0.8170485705258805,0.816772527755422,0.8177813932436322,0.8148213982561934,0.8164059137421841,0.001057395149936503
22,10.902527809143066,1.1938284452898662,0.01595759391784668,0.0007643685813838939,0.05,5,2,10,"{'learning_rate': 0.05, 'max_leaves': 5, 'min_samples_leaf': 2, 'random_state': 10}",0.7300863332790357,0.7282945105065972,0.7278872780583157,0.7260140087962209,0.734565890210132,0.7293696041700602,0.002902696216472098,12,0.7383327903567356,0.7377626649291416,0.7382309822446652,0.7385160449584622,0.7364798827170549,0.7378644730412119,0.0007356155687609024,0.7012968505059142,0.7017998560115191,0.6999142612174907,0.6995541492880771,0.7076124567474048,0.7020355147540811,0.0029106814684447284,12,0.7105140102873997,0.7097539069516795,0.7104922279792746,0.7100638404705545,0.7077192731435112,0.7097086517664839,0.0010342560980037855,0.8015963511972634,0.7939403811695716,0.7978498126730738,0.7923114513764457,0.7994787424661997,0.7970353477765109,0.0034447147451731625,14,0.8044062550904056,0.8045284248248901,0.8041211923766086,0.8062388011076722,0.8057093989249063,0.8050008144648967,0.0008228111210530412,0.748099726360596,0.7450321002751451,0.745680140062419,0.743049190345249,0.7507456978967495,0.7465213709880317,0.002657735075450666,9,0.7545504899058387,0.7541753354583803,0.7544127760372888,0.7551012624432664,0.7535420475319926,0.7543563822753534,0.0005082565331264258,0.8057797607848007,0.8020445125298241,0.8044176050613945,0.7983233804281287,0.8085129080944756,0.8038156333797246,0.0034521375309801696,6,0.8156371044521843,0.8170298125595078,0.8167102156850046,0.8173164482492667,0.814807683431518,0.8163002528754962,0.000938137436821092
23,9.786946535110474,0.5083279950404336,0.015333127975463868,0.0008790400656930696,0.05,5,3,10,"{'learning_rate': 0.05, 'max_leaves': 5, 'min_samples_leaf': 3, 'random_state': 10}",0.7298419938100668,0.7284574034859097,0.7280501710376283,0.7258511158169083,0.7352174621273823,0.729483629255579,0.003140329926321495,8,0.7378644730412119,0.737599771949829,0.7383327903567356,0.7384956833360482,0.7364798827170549,0.7377545202801759,0.0007133661793998953,0.701283880171184,0.7021184608733246,0.7,0.6994103264777793,0.7081891580161477,0.7022003651076871,0.00314128049070362,10,0.710092799079203,0.7096252649732332,0.7106958994851856,0.7099781291456025,0.7078382247673586,0.7096460634901167,0.0009675442448239916,0.8007818863007005,0.7936145952109465,0.798175598631699,0.792148558397133,0.8001303143834501,0.7969701905847858,0.0034778318671008354,17,0.803958299397296,0.8043248086007493,0.8039175761524678,0.8064016940869848,0.8053836129662811,0.8047971982407558,0.0009611375979147653,0.7477374705300783,0.7450680532191467,0.7458710708577516,0.7428964252978918,0.7513575525812619,0.7465861144972262,0.002846817378836013,7,0.754115894419191,0.7540132470556797,0.7544379263562189,0.7551242206417907,0.7534669308137761,0.7542316438573313,0.0005450003522729292,0.8057146195135494,0.8020835707584522,0.8044466599257613,0.7983040370526736,0.8085677541261158,0.8038233282753104,0.003463074742647761,5,0.8153762375415328,0.8171416588618756,0.8167556487366137,0.8172995543050143,0.8148161743507849,0.8162778547591643,0.0009967685587043492
24,8.191853857040405,0.6146763093945803,0.014313507080078124,0.0003274068725157676,0.05,7,1,10,"{'learning_rate': 0.05, 'max_leaves': 7, 'min_samples_leaf': 1, 'random_state': 10}",0.7298419938100668,0.7280501710376283,0.7278058315686594,0.7267470272031276,0.7349731226584134,0.7294836292555791,0.0029196493388076736,7,0.7383735136015638,0.7389232774067438,0.7383531519791497,0.739269424987783,0.7365613292067112,0.7382961394363903,0.0009337441322842393,0.7013988010276906,0.701845444059977,0.7000429123158346,0.700634188526953,0.7085441665461906,0.7024931024953291,0.0030884082099392743,8,0.7104742727697674,0.7109521070041709,0.7108125630312635,0.7112045724145368,0.708133285560731,0.7103153601560939,0.001116248936993082,0.8004561003420753,0.7929630232936961,0.7971982407558235,0.7918227724385078,0.7983384916110116,0.7961557256882228,0.003265344066024011,22,0.8046505945593745,0.8052207199869685,0.803673236683499,0.8057093989249063,0.8048542107835153,0.8048216321876527,0.00067772093379098,0.7476607074933436,0.7446271510516252,0.7454683929931454,0.743442685631261,0.7507659313725491,0.7463929737083849,0.002584843769910894,18,0.7546355529245516,0.7551558203483043,0.7543960244648318,0.7555131264916467,0.7534022033316815,0.7546205455122033,0.0007236314734730511,0.805549298662009,0.8015709447747693,0.8046135330234803,0.7985654114284219,0.8085228981916757,0.8037644172160713,0.0034173358967592494,11,0.8154083272461845,0.8177850450022701,0.817021654145966,0.81815928061058,0.8152379226225711,0.8167224459255144,0.0012011539126740374
25,8.562038230895997,0.3618032264826333,0.014673757553100585,0.0006996439640159501,0.05,7,2,10,"{'learning_rate': 0.05, 'max_leaves': 7, 'min_samples_leaf': 2, 'random_state': 10}",0.7302492262583483,0.7282130640169409,0.7278058315686594,0.727154259651409,0.7348102296791008,0.7296465222348916,0.0027814184901112844,4,0.738434598468806,0.7389436390291578,0.7383124287343216,0.7392083401205408,0.7367038605636097,0.7383205733832872,0.000872143219383379,0.7017268445839875,0.7020478800115374,0.7001001573901846,0.7010814708002884,0.7085201793721974,0.7026953064316391,0.0029874901869572606,4,0.7105660648780838,0.7109776707058358,0.71085248973121,0.7112645662494606,0.7083408007455464,0.7104003184620273,0.00105392635483914,0.8009447792800131,0.7929630232936961,0.7970353477765109,0.7919856654178205,0.7978498126730738,0.7961557256882228,0.0032912444842123105,22,0.8046098713145463,0.8052207199869685,0.80342889721453,0.805342889721453,0.8047727642938589,0.8046750285062714,0.0006797733055828353,0.7480602464628024,0.7447410693796375,0.7454296160877514,0.7437662536331651,0.750536316273368,0.7465067003673449,0.002467343569662043,10,0.7546694167526068,0.7551702408005041,0.7543108392276812,0.7553857906799084,0.7534839386140502,0.7546040452149503,0.000674771872467915,0.8055363765442495,0.8015831504712154,0.8046935068693261,0.7985389303739578,0.8085383675852152,0.8037780663687928,0.0034309286038627282,9,0.8154449783323681,0.8177979090766361,0.8170479909211377,0.8181511387808649,0.8153036493029049,0.8167491332827822,0.0011785677783821287
26,8.481365728378297,2.084168305975747,0.017036962509155273,0.0037775670546859263,0.05,7,3,10,"{'learning_rate': 0.05, 'max_leaves': 7, 'min_samples_leaf': 3, 'random_state': 10}",0.7300863332790357,0.7278058315686594,0.7280501710376283,0.7269913666720964,0.7352174621273823,0.7296302329369604,0.0029736781490457297,5,0.738699299560189,0.7388825541619156,0.73845496009122,0.7392287017429549,0.7370907313894771,0.7384712493891513,0.0007349840615337271,0.7019299499642602,0.7018328763169288,0.7003434459072696,0.7009952401557767,0.708730847065626,0.7027664718819724,0.0030382053133792904,2,0.7109439666030878,0.7110071942446043,0.7109253989409603,0.7112445611133087,0.7087336870787323,0.7105709615961386,0.0009256750457955741,0.7998045284248249,0.792148558397133,0.7971982407558235,0.7916598794591954,0.7986642775696368,0.7958950969213227,0.0033652286062529264,24,0.8044877015800619,0.8049356572731715,0.8037139599283271,0.8054650594559375,0.8050171037628279,0.8047238964000651,0.0005926036736791671,0.7476777828536622,0.7442607897153352,0.7456387598080292,0.7435740514075887,0.7510147813433407,0.7464332330255912,0.0026857068498571195,14,0.7548287259041323,0.7550615020246008,0.7544775120897604,0.7554282440561444,0.7538133007931666,0.7547218569735609,0.000549716507780218,0.8056553024822328,0.8016430114520476,0.8047012017649118,0.7985167213132502,0.8085499099285938,0.8038132293882073,0.003446178011818694,7,0.8157747742602878,0.8179197711811355,0.817132918356017,0.8181486760826009,0.8152881633255386,0.816852860641116,0.001140738008166067
