,metric,method,truncation_mode,level,k,silhouette,DBscore
127,cityblock,average,,5,8,0.24987493556459694,1.1655209107524858
128,cityblock,average,,5,9,0.24719024117150595,1.087339967635514
129,cityblock,average,,5,10,0.24154005230003775,1.0286550143296085
130,cityblock,average,,10,6,0.25113274835253635,1.152227946411552
131,cityblock,average,,10,7,0.25000124906495214,1.2716408967275334
132,cityblock,average,,10,8,0.24987493556459694,1.1655209107524858
133,cityblock,average,,10,9,0.24719024117150595,1.087339967635514
134,cityblock,average,,10,10,0.24154005230003775,1.0286550143296085
135,cityblock,average,,15,6,0.25113274835253635,1.152227946411552
136,cityblock,average,,15,7,0.25000124906495214,1.2716408967275334
137,cityblock,average,,15,8,0.24987493556459694,1.1655209107524858
138,cityblock,average,,15,9,0.24719024117150595,1.087339967635514
139,cityblock,average,,15,10,0.24154005230003775,1.0286550143296085
140,cityblock,average,lastp,2,6,0.25113274835253635,1.152227946411552
141,cityblock,average,lastp,2,7,0.25000124906495214,1.2716408967275334
142,cityblock,average,lastp,2,8,0.24987493556459694,1.1655209107524858
143,cityblock,average,lastp,2,9,0.24719024117150595,1.087339967635514
144,cityblock,average,lastp,2,10,0.24154005230003775,1.0286550143296085
145,cityblock,average,lastp,5,6,0.25113274835253635,1.152227946411552
146,cityblock,average,lastp,5,7,0.25000124906495214,1.2716408967275334
147,cityblock,average,lastp,5,8,0.24987493556459694,1.1655209107524858
148,cityblock,average,lastp,5,9,0.24719024117150595,1.087339967635514
149,cityblock,average,lastp,5,10,0.24154005230003775,1.0286550143296085
150,cityblock,average,lastp,10,6,0.25113274835253635,1.152227946411552
151,cityblock,average,lastp,10,7,0.25000124906495214,1.2716408967275334
152,cityblock,average,lastp,10,8,0.24987493556459694,1.1655209107524858
153,cityblock,average,lastp,10,9,0.24719024117150595,1.087339967635514
154,cityblock,average,lastp,10,10,0.24154005230003775,1.0286550143296085
155,cityblock,average,lastp,15,6,0.25113274835253635,1.152227946411552
156,cityblock,average,lastp,15,7,0.25000124906495214,1.2716408967275334
157,cityblock,average,lastp,15,8,0.24987493556459694,1.1655209107524858
158,cityblock,average,lastp,15,9,0.24719024117150595,1.087339967635514
159,cityblock,average,lastp,15,10,0.24154005230003775,1.0286550143296085
160,cityblock,average,level,2,6,0.25113274835253635,1.152227946411552
161,cityblock,average,level,2,7,0.25000124906495214,1.2716408967275334
162,cityblock,average,level,2,8,0.24987493556459694,1.1655209107524858
163,cityblock,average,level,2,9,0.24719024117150595,1.087339967635514
164,cityblock,average,level,2,10,0.24154005230003775,1.0286550143296085
165,cityblock,average,level,5,6,0.25113274835253635,1.152227946411552
166,cityblock,average,level,5,7,0.25000124906495214,1.2716408967275334
